Care este poziția fundamentală ce oferă cea mai mare stabilitate?;Poziția stând;Poziția așezat;Poziția decubit dorsal;C
În poziția stând, centrul de greutate este proiectat:;Spre partea posterioară a bazei de susținere;Spre partea anterioară a bazei de susținere;Direct pe articulația talocrurală;A
Poziția pe genunchi are ca principal dezavantaj:;Consum energetic mare;Bază mică de susținere și instabilitate;Dificultatea în menținerea coloanei drepte;B
Poziția așezat pe un scaun corect presupune un unghi de flexie la nivelul:;90° la șolduri și genunchi;120° la șolduri și genunchi;60° la șolduri și genunchi;A
Poziția atârnat este contraindicată la:;Persoanele sănătoase;Bolnavii pulmonari și cardiovasculari;Copii sub 10 ani;B
În poziția decubit dorsal, palmele se mențin:;În pronație sau pronosupinație;În pronație sau supinație;În extensie completă;A
Ce poziție derivată se caracterizează prin sprijin pe palme și trunchiul paralel cu solul?;Pe genunchi cu trunchiul înclinat anterior;Patrupedie;Așezat pe podea;B
În poziția decubit ventral, punctele de sprijin includ:;Regiunea occipitală și călcâiele;Fața anterioară a toracelui și coapselor;Partea dorso-superioară a trunchiului;B
Poziția pe genunchi cu trunchiul înclinat lateral se numește:;Patrupedie;Poziție heterolaterală;Poziție controlaterală;C
Poziția atârnat cu membrele inferioare îndoite la 90° din șold se încadrează la:;Modificarea suprafeței de sprijin;Modificarea poziției membrelor inferioare;Modificări complexe;B
Care este componenta fundamentală a oricărei mișcări?;Actul motric;Activitatea motrică;Conduita motrică;A
Conduita motrică reprezintă;Totalitatea acțiunilor fizice observabile;Latura subiectivă a comportamentului motric;Un ansamblu de exerciții sistematice;B
Care dintre următoarele NU este un concept înrudit cu motricitatea?;Situație sociomotrică;Activitate psihomotrică;Alimentație;C
Conceptul de psihomotricitate privește mișcarea;Din perspectivă interioară, subiectivă;Doar ca produs mecanic;Exclusiv din punct de vedere medical;A
Care dintre următoarele reprezintă o caracteristică a situației sociomotrice?;Absența comunicării cu partenerii;Interacțiunea motrică esențială;Lipsa regulilor culturale;B
Etnomotricitatea reunește;Practici motrice moderne;Practici motrice raportate la cultură și mediu social;Exclusiv jocuri sportive olimpice;B
Motricitatea ca termen provine din;Grecescul kinesio;Latinescul movere;Latinescul motus;B
Aptitudinea motrică este;Rezultatul direct al antrenamentului;Un substrat constitutiv preexistent al capacității motrice;Sinonim cu performanța motrică;B
Fitness-ul motor include;Rezistența cardio-vasculară;Forta și mobilitatea;Coordonarea, echilibrul și timpul de reacție;C
Performanța motrică exprimă;Un rezultat supramediu, conform unor norme sau baremuri;Doar o caracteristică fizică generală;Nivelul maxim de teorie sportivă;A
Kinetologia ca știință studiază în principal;Sistemul nervos uman;Mișcarea corpului uman;Structura musculară;B
Studiul biomecanic al mișcărilor umane include;Doar aspectele legate de forță;Doar aspectele spatio-temporale;Aspecte cinematice și cinetice;C
Kinantropometria se ocupă cu;Evaluarea compoziției corporale și a proporțiilor corpului;Antrenamentul sportiv de performanță;Studiul echilibrului psihic;A
Un domeniu strâns legat de kinantropometrie este;Chimia organică;Medicina sportivă;Istoria sportului;B
