Care este caracteristica principală a deficiențelor posturale nestructurale?;Prezintă modificări morfologice evidente;Se corectează prin autoredresare;Necesită tratament chirurgical;B  
Cum pot fi corectate deficiențele posturale nestructurale?;Exclusiv prin intervenții chirurgicale;Prin adoptarea unor poziții precum decubit dorsal sau atârnat;Doar prin purtarea corsetului;B  
Ce se întâmplă dacă deficiențele nestructurale nu sunt tratate la timp?;Se corectează singure;Determină modificări structurale;Nu au nicio consecință;B  
Ce afirmă legea lui Delpech referitor la deficiențele netratate?;Coloana se redresează complet;Vertebra capătă formă conică și deviația se fixează;Se produce o alungire a coloanei;B  
Cum se numesc cifozele care apar ca urmare a deprinderii unor poziții cifozante?;Cifoze congenitale;Cifoze habituale;Cifoze compensatorii;B  
Care este cauza principală a cifozei de creștere?;Dezvoltarea insuficientă a forței mușchilor de susținere;Osteoporoza severă;Luxația vertebrelor;A  
Cifozele atipice afectează frecvent următoarele regiuni:;Regiunea lombară sau cervicală;Regiunea toracică inferioară;Regiunea pelvină;A  
Cifoza totală apare atunci când:;Se inversează curbura lombară;Se extinde cifoza dorsală la întreaga coloană;Se micșorează spațiile intervertebrale;B  
Care profesii sunt asociate cu apariția cifozei profesionale?;Atleți și înotători;Ceasornicari, cismari, croitori;Farmaciști și ingineri;B  
Cifoza miopilor este un exemplu de:;Cifoză congenitală;Cifoză compensatorie;Cifoză traumatică;B  
Cifozele patologice se mai numesc:;Cifoze de creștere;Cifoze structurale sau deformante;Cifoze funcționale;B  
Care este o caracteristică a cifozei funcționale?;Se corectează prin autoredresare;Este permanentă și fixă;Necesită tratament chirurgical;A  
Cum se manifestă cifoza traumatică după câteva luni de la accident?;Se produce o scolioză lombară;Apare o cifoza scurtă cu tulburări motorii și senzitive;Dispare mobilitatea articulațiilor;B  
Care este metoda principală de diagnostic pentru cifoza traumatică?;Ecografia;Examenul radiologic;Testul de efort;B  
Ce malformație vertebrală poate produce cifoza congenitală?;Vertebrele se dublează;Vertebre cuneiforme;Deplasarea mușchilor paravertebrali;B  
Cum se manifestă cifoza congenitală în zona afectată?;Este dureroasă;Este fixă și nedureroasă;Se reduce prin poziții speciale;B  
Cifoza infecțioasă este determinată frecvent de:;Hepatită virală;Tuberculoză vertebrală (morbul Pott);Diabet zaharat;B  
Cum se manifestă de obicei cifoza tuberculoasă?;Este flexibilă și mobilă;Este scurtă, fixă și unghiulară;Dispare la adoptarea poziției în decubit dorsal;B  
Cifozele reumatismale sunt cauzate de:;Afecțiuni inflamatorii și degenerative;Infecții respiratorii;Alimentație deficitară;A  
Ce determină instalarea cifozei ireversibile în spondilita ankilopoietică?;Ruperea ligamentelor intervertebrale;Osificarea ligamentelor coloanei și formarea punților;Inflamația mușchilor paravertebrali;B  
Cifoza senilă este consecința:;Osteoporozei juvenile;Modificărilor degenerative ale vertebrelor și articulațiilor;Sarcinii;B  
Care sex este mai predispus la cifoza atipică lombară?;Bărbații;Femeile;Copiii;B  
Cifozele tumorale apar ca urmare a:;Tumorilor vertebrale primitive sau secundare;Leziunilor musculare;Tulburărilor circulatorii;A  
De ce trebuie programul de recuperare pentru cifozele tumorale să fie dozat cu prudență?;Pentru a evita oboseala musculară;Datorită riscului fracturilor cu interesare medulară;Pentru a preveni scolioza;B  
Cifozele endocrine sunt secundare următoarei afecțiuni:;Boala Alzheimer;Osteoporoză în sindromul Cushing;Deficiență de vitamina C;B  
Cum se numește cifoza severă a adolescenților cauzată de distrofie de creștere?;Cifoza rahitică;Cifoza senilă;Cifoza Scheuermann;C  
Care este singura metodă de diagnostic sigur pentru cifoza Scheuermann?;Examen radiologic;Test de flexibilitate;Analize de sânge;A  
Care este localizarea tipică a cifozei rahitice?;Regiunea cervicală;Regiunea lombară;Regiunea sacrală;B  
Cum se modifică aspectul tegumentului la nivelul apofizelor spinoase în cifoza rahitică?;Devine subțire și neted;Devine aspru, gros și pigmentat;Prezintă ulcerații;B  
Cifoza rahitică se accentuează în poziția:;Stând în picioare;Șezând;Culcat;B  
În stadiul inițial al bolii, când cifoza este asimptomatică, tratamentul constă în:;Intervenție chirurgicală de urgență;Tratament medical kinetic cu supraveghere;Imobilizare totală în ghips;B
În cazul cifozei avansate, tratamentul este:;Doar medicamentos;Complex, ortopedico-kinetic;Exclusiv prin fizioterapie;B
Rolul corsetului gipsat anticifoză este de a:;Crește presiunea pe platourile vertebrale;Reduce solicitările presionale pe platourile vertebrale;Bloca total mobilitatea coloanei;B
Cum se aplică corsetul gipsat anticifoză?;Direct în poziție de extensie;În doi timpi, inițial în cifoză lombară, apoi în extensie dorsală;Doar la nivel cervical;B
După scoaterea ghipsului, tratamentul continuă cu:;Imobilizare prelungită;Exerciții de asuplizare și posturare;Intervenții chirurgicale zilnice;B
Cifozele neuropsihice apar mai frecvent la:;Copii nervoși;Vârstnici;Sportivi profesioniști;A
Cum se manifestă încurbarea cifotică în cifoza neuropsihică?;Persistă în orice poziție;Dispare în decubit și în somn;Este vizibilă doar la radiografie;B
Tratamentul în cifoza neuropsihică vizează:;Imobilizarea definitivă;În primul rând, înlăturarea cauzelor declanșatoare;Doar kinetoterapie;B
Cifozele paralitice sunt considerate:;Benigne și reversibile;Periculoase, cu evoluție rapidă;Fără implicații grave;B
Cea mai frecventă cauză a cifozei paralitice este:;Osteoporoza;Poliomielita;Luxația de șold;B
Care este caracteristica deviației vertebrale în cifoza paralitică?;Este fixă din prima etapă;Rămâne mult timp mobilă, dar se accentuează treptat;Dispare în timpul somnului;B
Cifoza paralitică se complică adesea cu:;Lordoză lombară;Scolioză, realizând o cifoscolioză;Dezvoltare exagerată a mușchilor spatelui;B
Tratamentul cifozei paralitice este:;Exclusiv medicamentos;Complex, ortopedico-chirurgical și reeducare;Bazat doar pe masaj;B
Lordozele reprezintă:;Încovoierea laterală a coloanei;Încovoierea exagerată a coloanei în plan sagital, cu convexitate anterioară;Aplatizarea coloanei;B
Lordozele tipice afectează frecvent regiunile:;Lombară și cervicală;Dorsală și sacrală;Toracală și pelvină;A
Cum se produc lordozele atipice?;Prin accentuarea curburii lombare;Prin inversarea curburii în zone cu cifoză fiziologică sau extinderea lordozei la întreaga coloană;Prin scurtarea coloanei;B
Lordozele funcționale se mai numesc:;Lordoze structurale;Atitudini lordotice sau lordoze nestructurale;Lordoze degenerative;B
O caracteristică a lordozelor funcționale este:;Prezența modificărilor morfologice vertebrale;Absența modificărilor morfologice detectabile radiologic;Necesitatea tratamentului chirurgical;B
Cum se pot corecta lordozele funcționale?;Prin autoredresare, poziții speciale sau kinetoterapie;Doar prin operație;Sunt imposibil de corectat;A
Netra­tate la timp, lordozele funcționale se pot transforma în:;Lordoză patologică;Scolioză totală;Cifoză compensatorie;A
Lordoza primei copilării se instalează la vârsta de:;0-1 an;1-5 ani;5-10 ani;B
Ce caracterizează lordoza primei copilării?;Aplatizarea abdomenului;Bombarea abdomenului și asocieri cu picioare plate și genu recurvatum;Absența oricărei deformări;B
Lordozele congenitale se produc în urma:;Leziunilor musculare;Malformațiilor vertebrelor și articulațiilor intervertebrale;Fracturilor sacroiliace;B
Lombalizarea reprezintă:;Încovoierea dorsală a vertebrelor cervicale;Separarea primei vertebre sacrale și asimilarea ei în regiunea lombară;Dezvoltarea a șapte vertebre lombare;B
Sacralizarea constă în:;Separarea ultimei vertebre lombare și asimilarea ei de regiunea sacrală;Sudarea vertebrelor cervicale;Fractura corpurilor vertebrale lombare;A
Lordoza prepuhertară și pubertară apare din cauza:;Creșterii accelerate a mușchilor;Lipsei controlului voluntar asupra posturii;Traumatisme severe;B
Lordozele profesionale afectează persoanele care lucrează cu:;Trunchiul în extensie și membrele superioare în plan anterior;Trunchiul flexat și membrele inferioare;Capul înclinat lateral;A
O caracteristică a lordozelor profesionale este:;Tendința de agravare rapidă;Lipsa tendinței de agravare și păstrarea mobilității coloanei;Deplasarea completă a vertebrelor;B
În luxația congenitală de șold, capul femural:;Părăsește cavitatea acetabulară și se deplasează în sus și posterior;Se alungește exagerat;Se fixează mai bine în cavitatea acetabulară;A
Lordozele patologice se mai numesc:;Lordoze de atitudine;Structurale sau deformante;Hipercifoze;B
Luxația congenitală bilaterală determină:;Modificări doar la nivelul șoldurilor;Modificări complexe ale întregului corp;Modificări minore ale coloanei cervicale;B
Care este aspectul trunchiului în luxația congenitală bilaterală?;Alungit și suplu;Scurt și înfundat în bazin;Asimetric lateral;B
