Care este poziția fundamentală specifică omului?;Poziția așezat;Poziția pe genunchi;Poziția stând;C  
În poziția stând, centrul principal de greutate este situat:;Foarte jos, în apropierea solului;Mai jos, proiectându-se spre partea posterioară a bazei de susținere;În vârful capului;B  
Poziția stând este considerată:;Cea mai instabilă poziție fundamentală;Poziția cea mai odihnitoare;Poziția cu cel mai mic consum energetic;A  
Poziția stând favorizează:;Mișcările ample, izotonice ale membrelor superioare;Rigidizarea completă a trunchiului;Blocarea genunchilor;A  
Poziția așezat se caracterizează prin:;Bază mare de susținere și centru de greutate situat jos;Centru de greutate înalt și instabilitate;Imposibilitatea mobilizării trunchiului;A  
Un avantaj al poziției așezat este:;Instabilitatea crescută;Stabilitatea mai bună spre posterior;Rigiditatea completă a membrelor inferioare;B  
Poziția pe genunchi are ca particularitate:;Cea mai mare bază de susținere;Centrul de greutate în poziția cea mai înaltă și cea mai mică bază de susținere;Blocarea trunchiului;B  
Poziția pe genunchi solicită:;Doar membrele inferioare;Musculatura posturală și reflexele aferente;Exclusiv brațele;B  
Poziția pe genunchi favorizează:;Mișcările ample ale membrelor superioare și contracția izometrică a musculaturii membrelor inferioare;Rigiditatea totală a spatelui;Contractura mușchilor abdominali;A  
Poziția culcat dorsal are ca puncte de sprijin:;Umeri, șolduri și coapse;Regiunea occipitală, partea dorso-superioară a trunchiului, regiunea fesieră și călcâiele;Doar partea dorsală a trunchiului;B  
Poziția culcat dorsal se caracterizează prin:;Cea mai instabilă poziție;Cea mai odihnitoare și stabilă poziție;O poziție extrem de solicitantă;B  
Menținerea prelungită a poziției culcat dorsal poate avea ca efect:;Îmbunătățirea forței musculare;Efecte osteoporozante generale;Întărirea articulațiilor;B  
Poziția atârnat se caracterizează prin:;Centrul de greutate sub suprafața de sprijin, impunând un efort mare;Un centru de greutate înalt și o stabilitate crescută;Relaxarea completă a trunchiului;A  
În poziția atârnat, membrele inferioare:;Sunt apropiate și extinse, nu ating solul;Sunt complet flectate;Sunt sprijinite pe vârfuri;A  
Poziția atârnat menține:;Trunchiul flexat și umerii coborâți;Coastele ridicate și trunchiul ușor extins;Membrele superioare complet relaxate;B  
Pentru bolnavii pulmonari și cardiovasculari, poziția atârnat este:;Recomandată în recuperare;Contraindicată;Neutru, fără efecte;B  
O derivată a poziției stând prin modificarea bazei de sprijin este:;Stând pe vârfuri sau pe marginea internă a piciorului;Stând cu picioarele suspendate;Pe genunchi cu trunchiul flectat;A  
Stând cu trunchiul înclinat anterior până la 30° reprezintă:;O poziție derivată prin modificarea poziției trunchiului;O poziție fundamentală;O poziție de relaxare;A  
O derivată a poziției stând prin modificarea membrelor superioare este:;Membrele superioare pe lângă corp;Membrele superioare abducție laterală sau anterioră, cu coatele extinse;Membrele superioare complet flectate și lipite de trunchi;B  
În poziția derivată stând depărtat:;Baza de susținere este mare, iar centrul de greutate foarte aproape de suprafața de sprijin;Baza de susținere este mică;Centru de greutate este situat foarte sus;A  
În poziția derivată așezat pe marginea mesei de reeducare:;Se menține stabilitatea trunchiului;Suprafața de sprijin este redusă;Trunchiul se sprijină complet pe spătar;B  
O particularitate a poziției hemi-așezat (pe o fesă) este:;Sprijin asimetric al bazinului;Sprijin pe ambele picioare;Rigidizarea completă a trunchiului;A  
În poziția așezat pe podea, cu coapsele și genunchii flectați:;Se realizează o poziție complet instabilă;Membrele inferioare formează o bază de sprijin joasă și stabilă;Se obține o postură de extensie;B  
O derivată a poziției așezat prin modificarea trunchiului este:;Trunchiul flectat peste coapse sau între coapse;Trunchiul complet extins în spate;Ridicarea trunchiului pe vârfuri;A  
În poziția așezat cu trunchiul și capul în extensie:;Se relaxează complet musculatura spatelui;Se corectează postura trunchiului;Se limitează mișcările trunchiului;B  
Un exemplu de modificare a poziției membrelor superioare în poziția așezat este:;Membrele superioare pe lângă corp;Membrele superioare cu coatele extinse, abducție laterală sau anterioră;Sprijin exclusiv pe spate;B  
În poziția așezat, o modificare complexă este:;Pe genunchi cu sprijin pe palme, trunchiul deasupra orizontalei, capul flectat, sprijin homolateral sau controlateral;Așezat pe un scaun cu spătar înalt;Pe marginea mesei cu trunchiul extins;A  
În patrupedie, poziția se caracterizează prin:;Centru de greutate înalt și instabilitate;Suprafață mare de sprijin și centru de greutate mediu;Blocarea completă a mobilității;B  
Un avantaj al patrupediei este:;Rigidizarea trunchiului;Eliberarea coloanei și facilitarea mobilizării;Limitarea mișcărilor membrelor inferioare;B  
În patrupedie cu sprijin pe coate sau antebrațe:;Se accentuează instabilitatea;Se păstrează o stabilitate relativă și se eliberează coloana;Se produce tensionarea excesivă a umerilor;B  
Poziția pe genunchi cu trunchiul și capul înclinate lateral reprezintă:;O derivată cu modificarea poziției trunchiului și capului;O poziție fundamentală;O postură de relaxare completă;A  
În decubit lateral, stabilitatea este asigurată prin:;Bază mare de susținere și centru de greutate jos;Ridicarea trunchiului;Reducerea punctelor de sprijin;A  
Decubit lateral este utilizat frecvent pentru:;Reeducarea neuromotorie a marilor disabilități;Relaxare musculară superficială;Blocarea completă a trunchiului;A  
În decubit ventral, punctele de sprijin includ:;Regiunea occipitală și călcâiele;Mentorul sau partea laterală a feței, toracele, coapsele, gambele și fața dorsală a picioarelor;Coapsele și umerii;B  
Poziția decubit ventral are centrul de greutate:;Înalt, spre trunchi;Aproape de suprafața de sprijin;În zona lombară;B  
Poziția culcat rezemat, cu trunchiul în extensie "chaise longue" este:;O poziție rigidă;O poziție relaxantă;O postură instabilă;B  
O modificare a poziției membrelor superioare în decubit dorsal este:;Brațele pe lângă corp;Brațele depărtate (abduse) de trunchi cu coatele extinse;Membrele superioare complet flectate pe trunchi;B  
O poziție derivată complexă în decubit lateral este:;Cu genunchii flectați, trunchiul în rectitudine, capul flectat, sprijinit pe antebrațul de partea decubitului;Decubit dorsal cu membrele superioare pe lângă corp;Sprijin exclusiv pe partea dorsală a trunchiului;A  
În decubit ventral, "postura păpușii" presupune:;Sprijin pe coate, trunchiul și capul în extensie, tonifiere a mușchilor extensori ai cefei, spatelui și șoldului;Sprijin exclusiv pe gambe;Relaxare completă;A  
În poziția atârnat derivată, cu mâinile în pronație, trunchiul și capul răsucite dreapta-stânga, membrele inferioare cu genunchii și șoldurile flectate la 90°, poziția este:;Destinată relaxării totale;Destinată mobilizării active cu solicitare musculară;Imposibil de realizat;B  
Situația motrică este definită ca:;Un simplu gest mecanic;Un ansamblu de date obiective și subiective ce caracterizează o acțiune motrică;O succesiune de mișcări involuntare;B  
Datele obiective ale situației motrice includ:;Doar percepțiile subiective;Caracteristicile spațiale, ale obiectelor și ale subiecților;Preferințele personale ale subiectului;B  
Datele subiective ale situației motrice se referă la:;Motivație, percepții, anticipări, conduită motrică;Reguli stricte și arbitraj;Exclusiv la dimensiunile spațiului;A  
Un exemplu concret de situație motrică este:;Un dans executat fără conștientizare;Pacientul care reînvață mersul după un traumatism;O poziție statică fără mișcare;B  
Conceptele înrudite cu situația motrică includ:;Numai gestul motric;Situația psihomotrică, situația sociomotrică, conduita motrică;Exclusiv sarcina motrică;B  
Psihomotricitatea se referă la:;Integrarea funcțiilor motrice și mentale ce vizează raportul cu propriul corp;Doar la mișcările impuse de exterior;Mișcările sociale colective;A  
Un exemplu clar de domeniu al psihomotricității este:;Jocurile de echipă;Gimnastica de bază, conștientizarea schemei corporale;Antrenamentele tactice în sporturile de echipă;B  
Situația psihomotrică se caracterizează prin:;Acțiune izolată și absența comunicării practice cu partenerii sau adversarii;Interacțiune socială permanentă;Mișcare mecanică în grup;A  
Sociomotricitatea presupune:;Izolarea subiectului de ceilalți;Comunicare și interacțiune motrică în cadrul activităților colective;Exclusiv mișcări mentale;B  
Un exemplu de practică sociomotrică este:;Alergarea singur în pădure;Un meci de handbal sau baschet;Exerciții de relaxare personală;B  
Inteligența sociomotrică reprezintă:;Capacitatea de a rezolva o situație de joc prin anticipare, înțelegere, decizie;Abilitatea de a memora exerciții;Capacitatea de a alerga rapid;A  
În sporturile colective și de combat, inteligența sociomotrică presupune:;Excluderea tacticilor de joc;Anticiparea și interpretarea corectă a acțiunilor;Izolarea subiectului;B  
Sporturile cele mai puternic sociomotrice sunt:;Judo, box, tenis;Rugby, hochei, fotbal;Tenis de masă, înot, atletism;B  
Sporturile mai slab sociomotrice includ:;Rugby și hochei;Polo pe apă, volei, scrimă;Baschet și handbal;B  
Un exemplu clar de situație motrică sociomotrică este:;Săriturile în lungime;Un meci de fotbal;Gimnastica ritmică individuală;B  
Motricitatea desemnează:;Totalitatea acțiunilor motrice conștiente și inconștiente ale subiectului;Doar mișcările impuse de profesor;Exclusiv gesturile sociale;A  
Elementul de bază al motricității este:;Tensiunea musculară;Actul motric;Reflexul de postură;B  
Actul motric poate fi:;Instinctual sau reflex, cu scop adaptativ;Doar învățat prin repetiție;O simplă reacție mentală;A  
Motricitatea este definită ca:;Ieșirea din starea de imobilitate, schimbarea poziției corpului în spațiu;Totalitatea gândurilor despre mișcare;Un gest abstract lipsit de semnificație;A  
Conduita motrică reprezintă:;Latura interioară subiectivă a comportamentului motric, semnificația pe care o conferă individul mișcării;Un gest mecanic impus;O mișcare lipsită de sens;A  
Capacitatea motrică este definită ca:;Ansamblul actelor reflexe;Un complex de manifestări motrice condiționate de indici morfofuncționali și calități motrice;O sumă de mișcări simple;B  
Care dintre următoarele nu reprezintă componentă a capacității motrice?;Procesele metabolice și psihice;Aptitudinile motrice și calitățile;Calitățile senzoriale;C  
Capacitatea motrică se exprimă prin:;Adaptabilitatea individului la situații complexe ale mediului;Execuția mecanică a mișcărilor;Doar prin calitățile moștenite genetic;A  
În literatura de limbă engleză, un termen apropiat de capacitate motrică este:;Power training;Fitness;Endurance;B  
Regresul sau stagnarea capacității motrice este determinat de:;Motivație sau stările emoționale;Forța musculară maximă;Nivelul de oxigenare al mușchilor;A  
Fitness-ul reprezintă:;Un set de atribute prin care individul face față solicitărilor fizice și funcționale;Doar o ramură competițională sportivă;Exclusiv metode de dezvoltare a forței;A  
Care este o componentă a fitness-ului propriu-zis?;Coordonarea segmentară;Rezistența cardiovasculară;Agilitatea;B  
Fitness-ul motor include:;Rezistența cardiovasculară;Agilitatea și timpul de reacție;Mobilitatea și suplețea;B  
Literatura de specialitate descrie fitness-ul ca:;O simplă metodă de pierdere în greutate;O stare de bine care permite activități zilnice viguroase și reduce riscul îmbolnăvirilor;Un program exclusiv pentru sportivii de performanță;B  
Un nivel ridicat al fitness-ului favorizează:;Oboseala musculară;Reducerea capacității funcționale;O rată de progres bună în învățare;C  
Aptitudinea motrică reprezintă:;Un rezultat al antrenamentului intensiv;Un substrat constitutiv al capacității motrice, preexistent acesteia;O abilitate dobândită exclusiv prin experiență;B  
Relevanța aptitudinii motrice constă în:;Permiterea participării la procesul de pregătire prin selecție la o anumită vârstă;Limitarea accesului la activități sportive;Exprimarea exclusiv a capacității cognitive;A  
Aptitudinea motrică are legătură directă cu:;Evoluția naturală, instruirea și performanța motrică;Doar cu latura psihologică a individului;Exclusiv cu structura genetică;A  
