Care este poziția fundamentală ce oferă cea mai mare stabilitate?;Poziția stând;Poziția așezat;Poziția decubit dorsal;C
În poziția stând, centrul de greutate este proiectat:;Spre partea posterioară a bazei de susținere;Spre partea anterioară a bazei de susținere;Direct pe articulația talocrurală;A
Poziția pe genunchi are ca principal dezavantaj:;Consum energetic mare;Bază mică de susținere și instabilitate;Dificultatea în menținerea coloanei drepte;B
Poziția așezat pe un scaun corect presupune un unghi de flexie la nivelul:;90° la șolduri și genunchi;120° la șolduri și genunchi;60° la șolduri și genunchi;A
Poziția atârnat este contraindicată la:;Persoanele sănătoase;Bolnavii pulmonari și cardiovasculari;Copii sub 10 ani;B
În poziția decubit dorsal, palmele se mențin:;În pronație sau pronosupinație;În pronație sau supinație;În extensie completă;A
Ce poziție derivată se caracterizează prin sprijin pe palme și trunchiul paralel cu solul?;Pe genunchi cu trunchiul înclinat anterior;Patrupedie;Așezat pe podea;B
În poziția decubit ventral, punctele de sprijin includ:;Regiunea occipitală și călcâiele;Fața anterioară a toracelui și coapselor;Partea dorso-superioară a trunchiului;B
Poziția pe genunchi cu trunchiul înclinat lateral se numește:;Patrupedie;Poziție heterolaterală;Poziție controlaterală;C
Poziția atârnat cu membrele inferioare îndoite la 90° din șold se încadrează la:;Modificarea suprafeței de sprijin;Modificarea poziției membrelor inferioare;Modificări complexe;B
